entry,ep,exit,xp,pnl,bars,type
2021-01-06 04:00:00,1793.5633661349343,2021-01-08 09:00:00,1822.037635477584,-1.587580895121131,53,SHORT
2021-01-10 19:00:00,1821.2076204194448,2021-01-30 11:00:00,1849.5133329524965,-1.5542276572800975,472,SHORT
2021-01-31 05:00:00,1833.7521883105517,2021-02-02 07:00:00,1800.471701491707,-1.8148846409560988,50,LONG
2021-02-02 22:00:00,1812.318598874716,2021-02-05 07:00:00,1848.2271618323605,-1.9813603954591923,57,SHORT
2021-02-07 19:00:00,1841.1040437158465,2021-02-08 20:00:00,1810.843277852453,-1.6436206289742934,25,LONG
2021-02-09 13:00:00,1817.1448862579043,2021-02-12 04:00:00,1847.6224024379253,-1.677219929489726,63,SHORT
2021-02-13 02:00:00,1837.8300784260005,2021-02-15 21:00:00,1802.7112691095003,-1.9108844570972214,67,LONG
2021-02-16 17:00:00,1827.515203370125,2021-02-19 23:00:00,1855.2422603868383,-1.5171998003399294,78,SHORT
2021-02-20 11:00:00,1842.1551894403312,2021-02-23 13:00:00,1811.9816660765089,-1.637946875311273,74,LONG
2021-02-24 02:00:00,1822.2599308008676,2021-02-26 17:00:00,1849.6799279972672,-1.5047248053327282,63,SHORT
2021-02-27 08:00:00,1845.0210761420212,2021-03-02 15:00:00,1810.9931016674009,-1.844313591570107,79,LONG
2021-03-03 05:00:00,1826.5786060731548,2021-03-05 07:00:00,1857.5233802390003,-1.6941386515180807,50,SHORT
2021-03-05 22:00:00,1846.3061049595751,2021-03-09 13:00:00,1816.716890553454,-1.6026169402049901,87,LONG
2021-03-10 05:00:00,1828.906439389977,2021-03-12 15:00:00,1864.737823107229,-1.959169859405339,58,SHORT
2021-03-13 17:00:00,1854.4692040040263,2021-03-15 23:00:00,1825.599626121755,-1.5567569318454282,54,LONG
2021-03-16 12:00:00,1833.12052401948,2021-03-19 16:00:00,1861.909610940531,-1.5704961318050812,76,SHORT
2021-03-20 04:00:00,1851.622936246493,2021-03-23 06:00:00,1820.175598286767,-1.69836619238874,74,LONG
2021-03-23 19:00:00,1835.2163591307444,2021-03-26 10:00:00,1864.078908581508,-1.5727055454341259,63,SHORT
2021-03-27 00:00:00,1850.4405027521293,2021-03-30 06:00:00,1814.7698116729607,-1.9276864630943913,78,LONG
2021-03-30 18:00:00,1834.6568752820965,2021-04-02 08:00:00,1865.4532273081415,-1.678589192396524,62,SHORT
2021-04-03 05:00:00,1854.5233735563293,2021-04-06 00:00:00,1824.633645133598,-1.6117202322132567,67,LONG
2021-04-06 15:00:00,1836.430636753688,2021-04-09 13:00:00,1864.183410671469,-1.5112345308527526,70,SHORT
2021-04-10 17:00:00,1854.6471052795468,2021-04-13 15:00:00,1822.068967307413,-1.7565680219916238,70,LONG
2021-04-14 18:00:00,1830.947416501874,2021-04-15 10:00:00,1860.6001299208945,-1.6195284010762951,16,SHORT
2021-04-18 01:00:00,1856.8125058619344,2021-04-19 15:00:00,1824.653440347543,-1.7319500710419395,38,LONG
2021-04-20 04:00:00,1841.080817027717,2021-04-24 08:00:00,1872.7434612581355,-1.7197856790195298,100,SHORT
2021-04-25 01:00:00,1860.2284678652104,2021-04-26 13:00:00,1829.7233206248388,-1.6398602519710461,36,LONG
2021-04-27 16:00:00,1830.8916143781464,2021-04-30 13:00:00,1858.5216723917856,-1.5091039686160568,69,SHORT
2021-05-02 07:00:00,1857.32296485991,2021-05-03 10:00:00,1828.868791828274,-1.531999203691649,27,LONG
2021-05-03 23:00:00,1840.9211479467303,2021-05-16 01:00:00,1873.7512574151656,-1.7833522910556092,290,SHORT
2021-05-16 14:00:00,1850.024028076908,2021-05-17 18:00:00,1815.0311393248617,-1.891482933247161,28,LONG
2021-05-18 23:00:00,1824.1657758913589,2021-05-21 05:00:00,1852.4565121227215,-1.5508862519657063,54,SHORT
2021-05-22 18:00:00,1849.8855576061133,2021-05-24 19:00:00,1818.41685651228,-1.7011161022607288,49,LONG
2021-05-26 11:00:00,1815.070165843868,2021-05-27 23:00:00,1846.7404036699063,-1.7448492307356147,36,SHORT
2021-05-28 21:00:00,1840.6070382442808,2021-05-31 22:00:00,1807.3789976175528,-1.8052761907519148,73,LONG
2021-06-01 10:00:00,1820.7925835028436,2021-06-04 20:00:00,1862.686405253154,-2.300856348487255,82,SHORT
2021-06-05 15:00:00,1840.0240854844933,2021-06-07 10:00:00,1809.5936860002028,-1.6538044107329157,43,LONG
2021-06-08 00:00:00,1820.2920334112264,2021-06-12 14:00:00,1850.2431226003832,-1.645400223667876,110,SHORT
2021-06-13 03:00:00,1835.1584381577168,2021-06-14 07:00:00,1804.70132671172,-1.6596447921179043,28,LONG
2021-06-16 17:00:00,1805.5718456726293,2021-06-18 15:00:00,1848.8922335167636,-2.399261372398957,46,SHORT
2021-06-19 18:00:00,1829.1321768478977,2021-06-21 13:00:00,1800.9056325020083,-1.5431659178688508,43,LONG
2021-06-23 07:00:00,1801.1762631296729,2021-06-25 16:00:00,1837.301526512668,-2.0056484266689667,57,SHORT
2021-06-26 08:00:00,1822.6539288211573,2021-06-28 23:00:00,1793.6999616404785,-1.5885608739452481,63,LONG
2021-06-29 14:00:00,1799.4803883428642,2021-07-02 09:00:00,1831.036293737471,-1.7536120759652434,67,SHORT
2021-07-03 05:00:00,1814.764023634872,2021-07-06 14:00:00,1783.5234926123262,-1.7214651941343195,81,LONG
2021-07-07 02:00:00,1795.087097090323,2021-07-09 05:00:00,1823.762755449165,-1.5974522019194977,51,SHORT
2021-07-09 22:00:00,1811.66051681082,2021-07-12 09:00:00,1782.401633498378,-1.6150312401767257,59,LONG
2021-07-13 04:00:00,1798.663518622962,2021-07-16 12:00:00,1826.4759306848343,-1.5462821019000335,80,SHORT
2021-07-17 23:00:00,1812.654158440648,2021-07-19 03:00:00,1778.7953742767568,-1.8679119790296077,28,LONG
2021-07-19 17:00:00,1798.2264348094,2021-07-31 21:00:00,1825.349360899012,-1.508315391464419,292,SHORT
2021-08-01 11:00:00,1804.1403180890677,2021-08-02 22:00:00,1772.598856242695,-1.7482820781800994,35,LONG
2021-08-03 12:00:00,1784.669772470934,2021-08-06 16:00:00,1820.7012330976272,-2.018942730049516,76,SHORT
2021-08-07 13:00:00,1802.951744482104,2021-08-09 12:00:00,1775.370422372642,-1.5297870391636417,47,LONG
2021-08-10 19:00:00,1774.642367765687,2021-08-13 00:00:00,1806.2338531989624,-1.7801606682618443,53,SHORT
2021-08-14 10:00:00,1795.1251658562403,2021-08-16 16:00:00,1766.0238804739374,-1.6211284837301092,54,LONG
2021-08-18 06:00:00,1769.6387541448132,2021-08-19 15:00:00,1797.793119905477,-1.5909668396852812,33,SHORT
2021-08-21 03:00:00,1790.5673521365295,2021-08-24 02:00:00,1750.8254689846788,-2.2195134466419364,71,LONG
2021-08-25 12:00:00,1767.284822578716,2021-08-27 09:00:00,1798.5470378115783,-1.7689404013126908,45,SHORT
2021-08-29 11:00:00,1789.881702193623,2021-08-30 07:00:00,1761.599243432054,-1.5801300570259387,20,LONG
2021-08-31 20:00:00,1765.715667337739,2021-09-03 05:00:00,1793.8858500418703,-1.5953974484807607,57,SHORT
2021-09-04 05:00:00,1783.503119512344,2021-09-06 21:00:00,1754.6090875405075,-1.620071849368948,64,LONG
2021-09-07 18:00:00,1769.9871133579293,2021-09-10 10:00:00,1802.6525166819515,-1.8455164491029032,64,SHORT
2021-09-11 14:00:00,1788.166555476598,2021-09-14 04:00:00,1755.115544848422,-1.8483183530611906,62,LONG
2021-09-15 03:00:00,1761.3998033766586,2021-09-17 07:00:00,1793.8871775633615,-1.8444065977765878,52,SHORT
2021-09-17 22:00:00,1779.8434086243883,2021-09-21 13:00:00,1751.2037152984649,-1.6091130931601767,87,LONG
2021-09-22 09:00:00,1760.222070380529,2021-09-23 20:00:00,1788.6775655945248,-1.616585525929934,35,SHORT
2021-09-24 10:00:00,1772.6866799600705,2021-09-29 14:00:00,1738.451835302134,-1.9312405878013157,124,LONG
2021-09-30 10:00:00,1762.8061525298272,2021-10-08 18:00:00,1807.9955526644871,2.5634923085449905,200,LONG
2021-10-09 07:00:00,1782.853059098965,2021-10-11 21:00:00,1753.832151782568,-1.6277789786592956,62,LONG
2021-10-12 17:00:00,1763.4000761850375,2021-10-14 23:00:00,1790.1119608685626,-1.5147943478211678,54,SHORT
2021-10-17 04:00:00,1787.24729692955,2021-10-18 19:00:00,1757.6155310814563,-1.6579555553951801,39,LONG
2021-10-19 12:00:00,1771.716819052716,2021-10-22 21:00:00,1805.3192061816287,-1.8966003351979817,81,SHORT
2021-10-23 10:00:00,1788.9153999612238,2021-10-25 12:00:00,1753.2855916179592,-1.9916989000171217,50,LONG
2021-10-27 15:00:00,1765.8816824828775,2021-10-28 23:00:00,1804.628604233861,-2.1941969348990784,32,SHORT
2021-10-29 19:00:00,1785.193703448902,2021-11-02 17:00:00,1754.9295444529537,-1.6952871241635838,94,LONG
2021-11-03 07:00:00,1768.3584793541663,2021-11-05 04:00:00,1796.484097961708,-1.590493044024282,45,SHORT
2021-11-09 18:00:00,1773.374691064104,2021-11-12 08:00:00,1800.3530942965265,-1.5213030482708838,62,SHORT
2021-11-13 01:00:00,1792.3654442278223,2021-11-16 01:00:00,1764.3564904058494,-1.5626809762581417,72,LONG
2021-11-17 08:00:00,1772.323354529978,2021-11-18 20:00:00,1800.8455750846756,-1.6093124588013918,36,SHORT
2021-11-19 14:00:00,1792.8558455907062,2021-11-24 10:00:00,1755.5981262177972,-2.0781213093366877,116,LONG
2021-11-26 22:00:00,1800.2415735949974,2021-12-01 04:00:00,1763.4121994187628,-2.045801781073637,102,LONG
2021-12-01 18:00:00,1781.7020364349348,2021-12-03 02:00:00,1809.1379205282285,-1.5398693795170728,32,SHORT
2021-12-03 16:00:00,1801.9573365882288,2021-12-07 20:00:00,1761.992438590228,-2.217860389173764,100,LONG
2021-12-09 06:00:00,1789.4542537422028,2021-12-09 19:00:00,1817.9309351572208,-1.5913612407506943,13,SHORT
2021-12-11 12:00:00,1813.0400828498107,2021-12-14 09:00:00,1785.0184844973192,-1.5455586789038906,69,LONG
2021-12-15 13:00:00,1795.6032140706905,2021-12-17 06:00:00,1828.2577656587869,-1.8185839350369333,41,SHORT
2021-12-18 03:00:00,1814.5884922913872,2021-12-22 04:00:00,1783.156606066212,-1.732177094625151,97,LONG
2021-12-22 23:00:00,1800.5103722536323,2021-12-24 18:00:00,1838.233769425168,-2.0951502281166365,43,SHORT
2021-12-25 21:00:00,1828.3692848537696,2021-12-27 21:00:00,1800.126839164275,-1.5446795088637362,48,LONG
2021-12-28 09:00:00,1815.588054603348,2022-01-01 11:00:00,1846.709105852883,-1.7141031067388364,98,SHORT
2022-01-02 01:00:00,1836.3955332872229,2022-01-03 17:00:00,1807.62158320241,-1.5668710560031884,40,LONG
2022-01-04 07:00:00,1816.724467890971,2022-01-07 12:00:00,1844.7549261274055,-1.5429119127225126,77,SHORT
2022-01-08 00:00:00,1828.2040464245183,2022-01-11 12:00:00,1795.1847474060987,-1.8061057835965615,84,LONG
2022-01-12 04:00:00,1814.969130668236,2022-01-14 02:00:00,1846.515030102965,-1.738095645908563,46,SHORT
2022-01-14 17:00:00,1833.697052864667,2022-01-18 18:00:00,1805.1167761227532,-1.5586149684466537,97,LONG
2022-01-20 11:00:00,1821.4866382856576,2022-02-05 05:00:00,1869.4419645532903,2.6327575102481773,378,LONG
2022-02-05 19:00:00,1854.1495214244217,2022-02-08 01:00:00,1825.8904321605696,-1.5240998062627895,54,LONG
2022-02-08 18:00:00,1836.494791914015,2022-02-11 22:00:00,1866.434956787827,-1.6302885804869705,76,SHORT
2022-02-12 12:00:00,1859.2682674236632,2022-02-15 16:00:00,1830.203237040763,-1.563251032255545,76,LONG
2022-02-16 04:00:00,1838.4037259735,2022-02-17 19:00:00,1866.9749695296712,-1.5541332489979383,39,SHORT
2022-02-18 13:00:00,1854.4132242628928,2022-02-22 20:00:00,1826.0979077573409,-1.5269151521935944,103,LONG
2022-02-23 11:00:00,1840.2501456356847,2022-02-25 00:00:00,1869.4961386883383,-1.589240089017955,37,SHORT
2022-02-26 06:00:00,1863.211242472857,2022-03-02 07:00:00,1829.9286361368277,-1.7863034301927392,97,LONG
2022-03-02 21:00:00,1842.9223766844189,2022-03-04 13:00:00,1872.0272911738691,-1.5792805414741664,40,SHORT
2022-03-05 14:00:00,1872.3321137832768,2022-03-07 21:00:00,1838.097655439135,-1.8284394147877354,55,LONG
2022-03-08 12:00:00,1851.549654558059,2022-03-11 22:00:00,1884.2962090927529,-1.7686025570029875,82,SHORT
2022-03-12 16:00:00,1871.2928861985529,2022-03-14 19:00:00,1842.2428416051723,-1.552405014075291,51,LONG
2022-03-15 12:00:00,1851.472748083068,2022-03-17 21:00:00,1882.6896031692304,-1.6860553372164404,57,SHORT
2022-03-18 17:00:00,1865.7352835400543,2022-03-22 19:00:00,1832.541758053422,-1.779112277045583,98,LONG
2022-03-23 12:00:00,1848.832542640724,2022-03-25 11:00:00,1882.198945913467,-1.8047282543547853,47,SHORT
2022-03-26 03:00:00,1876.787349652135,2022-03-29 06:00:00,1847.9969394424172,-1.5340262291864903,75,LONG
2022-03-29 23:00:00,1851.693166753795,2022-04-01 11:00:00,1884.9242351798669,-1.794631476894704,60,SHORT
2022-04-02 04:00:00,1871.1074903347776,2022-04-05 05:00:00,1842.3714363543136,-1.5357778283129304,73,LONG
2022-04-06 04:00:00,1849.2896552004945,2022-04-08 01:00:00,1877.6721208603203,-1.5347766413990278,45,SHORT
2022-04-09 22:00:00,1880.4986412352248,2022-04-11 20:00:00,1832.7038055115931,-2.541604374265175,46,LONG
2022-04-12 14:00:00,1855.5585423195396,2022-04-15 14:00:00,1886.2835626838803,-1.6558367555427767,72,SHORT
2022-04-17 01:00:00,1873.7539630221531,2022-04-19 10:00:00,1845.453299734447,-1.5103724312908382,57,LONG
2022-04-20 09:00:00,1847.0031005303508,2022-04-22 13:00:00,1880.043571544166,-1.7888692771727328,52,SHORT
2022-04-23 03:00:00,1868.572607647537,2022-04-26 01:00:00,1831.8389891987265,-1.9658651902778803,70,LONG
2022-04-27 12:00:00,1850.540277910476,2022-04-29 00:00:00,1880.079765518176,-1.5962628838889208,36,SHORT
2022-04-29 14:00:00,1862.3313436816832,2022-05-02 23:00:00,1831.9337843622309,-1.6322315264993978,81,LONG
2022-05-03 13:00:00,1853.1141238755624,2022-05-07 04:00:00,1884.825323134519,-1.7112383339152653,87,SHORT
2022-05-07 19:00:00,1870.2331756675544,2022-05-09 16:00:00,1837.6311423873344,-1.7432068741152094,45,LONG
2022-05-10 06:00:00,1853.554322540082,2022-05-14 15:00:00,1883.4896536647457,-1.6150231347760422,105,SHORT
2022-05-15 05:00:00,1867.4652838129296,2022-05-17 02:00:00,1838.686205944623,-1.541076994456699,45,LONG
2022-05-17 22:00:00,1845.7549914127608,2022-05-20 11:00:00,1875.8583543299155,-1.6309511856778627,61,SHORT
2022-05-21 05:00:00,1861.773216449668,2022-05-24 10:00:00,1830.381392970004,-1.6861249910731373,77,LONG
2022-05-25 07:00:00,1840.0054278001555,2022-05-27 16:00:00,1875.141372454482,-1.9095565764897662,57,SHORT
2022-05-28 08:00:00,1861.104259470089,2022-05-30 16:00:00,1827.4948382232576,-1.8058859989069542,56,LONG
2022-05-31 04:00:00,1845.967323879096,2022-06-04 05:00:00,1876.9551382774505,-1.6786762147683616,97,SHORT
2022-06-05 01:00:00,1859.1700056630316,2022-06-06 22:00:00,1830.6455436462304,-1.5342578639885365,45,LONG
2022-06-08 17:00:00,1826.1362388907585,2022-06-09 17:00:00,1862.9590151001871,-2.016430944483952,24,SHORT
2022-06-11 15:00:00,1853.996504777563,2022-06-13 14:00:00,1819.988377204382,-1.83431454620035,47,LONG
2022-06-14 08:00:00,1834.225017264087,2022-06-17 23:00:00,1863.4914486382768,-1.5955747576621389,87,SHORT
2022-06-18 14:00:00,1850.901985404265,2022-06-20 15:00:00,1820.3166761110567,-1.6524542917126912,49,LONG
2022-06-21 19:00:00,1823.3777557304493,2022-06-24 12:00:00,1856.440977012674,-1.813295197789639,65,SHORT
2022-06-25 12:00:00,1846.232900316241,2022-06-28 05:00:00,1817.781114436355,-1.541072411558291,65,LONG
2022-06-29 06:00:00,1819.778584038616,2022-07-01 10:00:00,1856.6039726521797,-2.0236191884310197,52,SHORT
2022-07-02 09:00:00,1836.4154203016444,2022-07-05 05:00:00,1807.8005739170248,-1.5581902693846568,68,LONG
2022-07-05 22:00:00,1819.680376661232,2022-07-08 18:00:00,1848.046815814299,-1.5588693221561238,68,SHORT
2022-07-09 10:00:00,1835.067236957692,2022-07-11 23:00:00,1798.996640925309,-1.9656280329097635,61,LONG
2022-07-12 20:00:00,1815.9259208809424,2022-07-15 04:00:00,1848.7445070267,-1.8072645898372648,56,SHORT
2022-07-15 20:00:00,1827.6794720925911,2022-07-19 04:00:00,1785.451407397205,-2.3104743112881474,80,LONG
2022-07-19 17:00:00,1811.060971294992,2022-07-22 06:00:00,1839.9259323801064,-1.593814981528457,61,SHORT
2022-07-22 22:00:00,1821.3207367101536,2022-07-26 11:00:00,1785.104524697656,-1.9884587751367107,85,LONG
2022-07-26 23:00:00,1802.578167041147,2022-07-29 04:00:00,1833.3841337529184,-1.7089947762064601,53,SHORT
2022-07-29 18:00:00,1815.3012911193125,2022-08-02 04:00:00,1783.5129880774678,-1.751130966377715,82,LONG
2022-08-02 18:00:00,1802.2926009535995,2022-08-05 02:00:00,1836.3260846640949,-1.8883439732531853,56,SHORT
2022-08-06 07:00:00,1819.3932571165903,2022-08-08 17:00:00,1790.5441437602142,-1.5856447331291532,58,LONG
2022-08-10 09:00:00,1793.494038393988,2022-08-12 05:00:00,1820.9662776240311,-1.531771984848283,44,SHORT
2022-08-13 17:00:00,1815.7258286901117,2022-08-16 16:00:00,1781.2256451222106,-1.9000767088712938,71,LONG
2022-08-17 13:00:00,1791.17985795024,2022-08-19 18:00:00,1824.8612071819616,-1.8804001776943489,53,SHORT
2022-08-20 08:00:00,1812.781293382992,2022-08-23 10:00:00,1782.789437648938,-1.6544663078513793,74,LONG
2022-08-24 06:00:00,1788.2592601708304,2022-08-26 16:00:00,1822.421223587041,-1.9103473515885514,58,SHORT
2022-08-27 06:00:00,1807.0586008229347,2022-08-30 01:00:00,1778.9090025243604,-1.5577579103275907,67,LONG
2022-08-31 12:00:00,1782.6865393376934,2022-09-01 18:00:00,1811.7853816395896,-1.632302800284061,30,SHORT
2022-09-02 17:00:00,1801.8415987617468,2022-09-06 03:00:00,1765.7761454032905,-2.0015884516841593,82,LONG
2022-09-07 08:00:00,1784.845987055434,2022-09-10 03:00:00,1813.595444494057,-1.6107528407004177,67,SHORT
2022-09-11 04:00:00,1811.311092794316,2022-09-13 07:00:00,1776.1483481567222,-1.9412868820533773,51,LONG
2022-09-13 21:00:00,1782.7348150787086,2022-09-16 15:00:00,1823.9432165132564,-2.3115272718073,66,SHORT
2022-09-17 05:00:00,1805.017523179499,2022-09-19 18:00:00,1777.1560401750403,-1.5435574805601504,61,LONG
2022-09-20 18:00:00,1785.7655986275631,2022-09-23 15:00:00,1816.0157232626875,-1.6939583032830794,69,SHORT
2022-09-24 17:00:00,1804.6525684239905,2022-09-27 07:00:00,1774.8040196328216,-1.6539775751537464,62,LONG
2022-09-28 02:00:00,1783.6211606436354,2022-10-01 00:00:00,1817.179247627524,-1.8814582224276208,70,SHORT
2022-10-01 14:00:00,1805.5130787387693,2022-10-03 22:00:00,1774.1382629006514,-1.737722988970792,56,LONG
2022-10-05 16:00:00,1781.521591260933,2022-10-07 09:00:00,1811.5346646437883,-1.6846876024450816,41,SHORT
2022-10-08 00:00:00,1803.575691877528,2022-10-10 13:00:00,1775.7197124792783,-1.5444862959564254,61,LONG
2022-10-11 10:00:00,1783.842726457614,2022-10-13 18:00:00,1812.195596158689,-1.5894265385928277,56,SHORT
2022-10-14 07:00:00,1795.085722623376,2022-10-18 07:00:00,1767.318334573402,-1.5468558242106758,96,LONG
2022-10-18 21:00:00,1783.1110404638448,2022-10-21 07:00:00,1812.799538764733,-1.6649831461514126,58,SHORT
2022-10-22 13:00:00,1809.7398114075647,2022-10-25 05:00:00,1779.0847667769635,-1.6938923726697797,64,LONG
2022-10-26 03:00:00,1787.7793891451438,2022-10-28 10:00:00,1821.347563274422,-1.8776463322652734,55,SHORT
2022-10-28 23:00:00,1808.0974600046504,2022-11-01 07:00:00,1774.9073671159306,-1.8356362764114762,80,LONG
2022-11-02 06:00:00,1787.1458783454802,2022-11-04 01:00:00,1814.232871285756,-1.515656515144275,43,SHORT
2022-11-04 14:00:00,1802.529915361578,2022-11-08 19:00:00,1769.832905245412,-1.813951038344202,101,LONG
2022-11-09 22:00:00,1791.7460666464228,2022-11-11 12:00:00,1833.7703813756173,-2.3454392065640497,38,SHORT
2022-11-12 17:00:00,1817.697614953209,2022-11-14 17:00:00,1787.2998932898854,-1.6723200500049142,48,LONG
2022-11-15 07:00:00,1803.28559014856,2022-11-18 12:00:00,1835.0410468098237,-1.7609776751250794,77,SHORT
2022-11-19 05:00:00,1819.5168473892368,2022-11-22 04:00:00,1791.211374848035,-1.5556587223589848,71,LONG
2022-11-23 14:00:00,1796.9389664793837,2022-11-25 04:00:00,1831.1186313415049,-1.902104940664011,38,SHORT
2022-11-26 00:00:00,1820.3856283314533,2022-11-29 16:00:00,1791.8675846215783,-1.566593542930479,88,LONG
2022-11-30 06:00:00,1805.3347779541136,2022-12-02 00:00:00,1834.452193324763,-1.612854065972541,42,SHORT
2022-12-02 14:00:00,1820.0048504932815,2022-12-14 01:00:00,1788.7423910803905,-1.7177129722713604,275,LONG
2022-12-14 13:00:00,1811.1785105146369,2022-12-16 03:00:00,1842.12078195378,-1.7084053978948193,38,SHORT
2022-12-16 19:00:00,1836.572637345979,2022-12-20 18:00:00,1802.3892127209704,-1.8612617834929175,95,LONG
2022-12-21 06:00:00,1816.4286504225104,2022-12-23 03:00:00,1844.023418788213,-1.519177114899825,45,SHORT
2022-12-23 18:00:00,1837.8232282593865,2022-12-27 08:00:00,1804.8412689285487,-1.794620876681114,86,LONG
2022-12-27 22:00:00,1820.8181086330949,2022-12-30 03:00:00,1859.651889166073,-2.1327655051789347,53,SHORT
2022-12-30 16:00:00,1837.9012622358905,2023-01-04 02:00:00,1807.940202582917,-1.6301778701933383,106,LONG
2023-01-04 19:00:00,1821.712704652112,2023-01-05 03:00:00,1853.05914025833,-1.720712356353912,8,SHORT
2023-01-06 01:00:00,1840.2265278605,2023-01-10 11:00:00,1812.2280539994813,-1.5214688755503685,106,LONG
2023-01-11 11:00:00,1831.9016802256288,2023-01-13 16:00:00,1865.2118007429872,-1.8183356059401474,53,SHORT
2023-01-14 09:00:00,1859.4775828491747,2023-01-16 14:00:00,1825.0086436804736,-1.8536894172118104,53,LONG
2023-01-18 06:00:00,1840.16681082104,2023-01-20 00:00:00,1868.6662949981333,-1.548744603451332,42,SHORT
2023-01-21 14:00:00,1866.957486330828,2023-01-24 06:00:00,1835.3444325731489,-1.6932926426626336,64,LONG
2023-01-25 00:00:00,1845.9529627719096,2023-01-27 00:00:00,1878.0676306384892,-1.7397338130629134,48,SHORT
2023-01-28 04:00:00,1864.239445833843,2023-02-01 02:00:00,1832.06005892782,-1.7261402218441892,94,LONG
2023-02-01 18:00:00,1842.81840347454,2023-02-03 00:00:00,1872.96374053251,-1.6358278711094096,30,SHORT
2023-02-03 23:00:00,1869.9710338391449,2023-02-06 21:00:00,1835.5748546696573,-1.8393963621388565,70,LONG
2023-02-09 02:00:00,1855.215535255096,2023-02-10 18:00:00,1885.1956707107088,-1.6159920443686033,40,SHORT
2023-02-12 03:00:00,1879.9453783751344,2023-02-14 01:00:00,1850.060056469962,-1.5896909691601064,46,LONG
2023-02-14 17:00:00,1859.4152155137067,2023-02-17 02:00:00,1894.7699568306864,-1.901390341544136,57,SHORT
2023-02-18 14:00:00,1884.248708786738,2023-02-20 17:00:00,1849.7765157219785,-1.8294927258809712,51,LONG
2023-02-21 10:00:00,1866.9384246653667,2023-02-24 21:00:00,1896.750873362632,-1.5968629871983602,83,SHORT
2023-02-25 19:00:00,1886.837428809696,2023-02-27 23:00:00,1850.289037713895,-1.9370185548448333,52,LONG
2023-03-01 08:00:00,1860.9982640405835,2023-03-03 06:00:00,1890.5598710390852,-1.5884811700102177,46,SHORT
2023-03-04 10:00:00,1885.5100584661493,2023-03-07 08:00:00,1854.2071652295608,-1.660181715607139,70,LONG
2023-03-07 22:00:00,1867.8641544833067,2023-03-10 03:00:00,1897.3937766464576,-1.5809298600368196,53,SHORT
2023-03-10 15:00:00,1878.353674898768,2023-03-15 03:00:00,1848.9509688784824,-1.565344504243606,108,LONG
2023-03-15 19:00:00,1868.5421207780985,2023-03-17 02:00:00,1898.7048430604357,-1.6142382848601151,31,SHORT
2023-03-17 18:00:00,1885.88025953762,2023-03-21 12:00:00,1854.273757333597,-1.675954878056386,90,LONG
2023-03-22 11:00:00,1870.786515005502,2023-03-24 02:00:00,1907.0784881694128,-1.9399313001678382,39,SHORT
2023-03-24 22:00:00,1888.0464410983568,2023-03-29 18:00:00,1856.945328411511,-1.647264177927375,116,LONG
